Name,Position,Team,Bye,Ringer
Younghoe Koo,K,ATL,14,190
Daniel Carlson,K,LV,6,191
Matt Ryan,QB,IND,14,NA
Mac Jones,QB,NE,10,NA
Ryan Tannehill,QB,TEN,6,NA
Zach Wilson,QB,Jets,10,NA
Carson Wentz,QB,WAS,14,NA
Sean McDermott,HC,BUF,7,
Brandon Staley,HC,LAC,8,
Todd Bowles,HC,TB,11,
Zac Taylor,HC,CIN,10,
Andy Reid,HC,KC,8,
Frank Reich,HC,IND,14,
Sean McVay,HC,LAR,7,
John Harbaugh,HC,BAL,10,
